Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Sebbe Augustijns,20.0,1999.0,BEL,MF,RKC Waalwijk,Eredivisie,8.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,473.0,200.0,26.0,30.0,6.0,8.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,9.0,4.0,77.0,12.0,26.0,41.0,10.0,1.0,77.0,1.0,1.0,0.0,25.0,113.0,31.0,0.0,0.0,0.0,1.0,2.0,27.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,4.0,2.0,5.0,2.0,3.0,5.0,7.0,0.0
Sekou Sidibe,19.0,2001.0,BEL,FW,Emmen,Eredivisie,3.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,102.0,3.0,4.0,4.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,19.0,0.0,3.0,9.0,7.0,1.0,19.0,1.0,0.0,1.0,6.0,37.0,16.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
Sergio Peña,24.0,1995.0,PER,MF,Emmen,Eredivisie,32.0,32.0,2794.0,6.0,49.0,15.0,26.7,8.0,4.0,5.0,1753.0,2216.0,31730.0,7512.0,783.0,874.0,639.0,755.0,253.0,409.0,3.0,63.0,183.0,43.0,8.0,222.0,3.0,0.0,0.0,31.0,49.0,2.0,128.0,0.0,0.0,0.0,243.0,27.0,35.0,2565.0,31.0,368.0,1575.0,656.0,38.0,2560.0,113.0,74.0,39.0,1467.0,6856.0,2795.0,54.0,46.0,10.0,73.0,55.0,1886.0,126.0,58.0,31.0,20.0,34.0,4.0,20.0,72.0,52.0,13.0,2.0,11.0,23.0,14.0,2.0
Sergiño Dest,19.0,2000.0,USA,DF,Ajax,Eredivisie,3.0,0.0,77.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,44.0,438.0,118.0,25.0,25.0,8.0,13.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,56.0,3.0,17.0,18.0,21.0,2.0,56.0,2.0,2.0,0.0,33.0,203.0,119.0,4.0,2.0,1.0,3.0,4.0,36.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
Shaquille Pinas,22.0,1998.0,SUR,DF,ADO Den Haag,Eredivisie,27.0,24.0,2200.0,3.0,9.0,4.0,23.4,0.0,3.0,3.0,905.0,1188.0,18623.0,8691.0,276.0,320.0,491.0,560.0,125.0,268.0,0.0,4.0,55.0,9.0,2.0,59.0,5.0,0.0,0.0,27.0,5.0,0.0,16.0,0.0,2.0,1.0,170.0,38.0,33.0,1457.0,228.0,813.0,586.0,74.0,15.0,1454.0,9.0,8.0,1.0,832.0,4550.0,2784.0,22.0,7.0,1.0,11.0,6.0,854.0,20.0,34.0,15.0,24.0,10.0,0.0,20.0,43.0,23.0,53.0,36.0,17.0,46.0,96.0,0.0
Shawn Adewoye,20.0,2000.0,BEL,DF,RKC Waalwijk,Eredivisie,3.0,1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,50.0,992.0,227.0,12.0,12.0,30.0,31.0,5.0,7.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,62.0,10.0,33.0,29.0,0.0,0.0,62.0,0.0,0.0,0.0,42.0,178.0,92.0,0.0,0.0,0.0,2.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0
Sherel Floranus,21.0,1998.0,CUW,DF,Heerenveen,Eredivisie,29.0,26.0,2336.0,1.0,6.0,2.0,21.7,0.0,0.0,0.0,954.0,1225.0,16694.0,5087.0,448.0,511.0,395.0,496.0,97.0,164.0,0.0,4.0,53.0,4.0,3.0,50.0,4.0,0.0,0.0,21.0,20.0,1.0,38.0,1.0,1.0,0.0,154.0,23.0,22.0,1499.0,110.0,586.0,679.0,245.0,12.0,1499.0,21.0,11.0,10.0,658.0,2899.0,1398.0,21.0,19.0,0.0,27.0,10.0,730.0,60.0,48.0,35.0,26.0,18.0,4.0,25.0,59.0,34.0,28.0,10.0,18.0,43.0,87.0,1.0
Shurandy Sambo,18.0,2001.0,NED,DF,PSV Eindhoven,Eredivisie,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,182.0,28.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,2.0,8.0,4.0,0.0,14.0,0.0,0.0,0.0,13.0,52.0,31.0,1.0,1.0,0.0,0.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sieben Dewaele,21.0,1999.0,BEL,MF,Heerenveen,Eredivisie,7.0,2.0,174.0,0.0,3.0,1.0,21.6,0.0,0.0,0.0,38.0,45.0,626.0,239.0,23.0,24.0,10.0,11.0,4.0,6.0,0.0,2.0,6.0,1.0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,1.0,69.0,5.0,19.0,33.0,17.0,5.0,69.0,0.0,0.0,0.0,31.0,99.0,28.0,0.0,0.0,0.0,1.0,4.0,44.0,8.0,3.0,2.0,2.0,1.0,0.0,2.0,5.0,3.0,7.0,0.0,7.0,2.0,2.0,0.0
Siem de Jong,31.0,1989.0,NED,MF,Heerenveen,Eredivisie,19.0,17.0,1360.0,4.0,31.0,11.0,17.6,2.0,0.0,0.0,333.0,451.0,5086.0,1651.0,173.0,214.0,121.0,149.0,18.0,29.0,2.0,10.0,43.0,8.0,2.0,66.0,3.0,0.0,0.0,14.0,15.0,4.0,4.0,0.0,0.0,0.0,50.0,27.0,25.0,633.0,19.0,80.0,349.0,212.0,47.0,633.0,45.0,22.0,23.0,359.0,1509.0,703.0,19.0,21.0,3.0,42.0,19.0,461.0,79.0,27.0,15.0,2.0,19.0,6.0,9.0,22.0,13.0,13.0,1.0,12.0,4.0,17.0,0.0
