Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Eden Hazard,27.0,1991.0,FW,Belgium,6.0,6.0,517.0,3.0,2.0,1.0,1.0,1.0,0.0,17.0,5.0,16.4,1.0,3823,1121,106,130,84,97,23,32,15,25,16,3,0.0,7.0,32.0,0.0,8.0,1.0,0.0,0.0,28.0,1.0,2.0,360.0,0.0,32.0,168.0,211.0,44.0,350.0,28.0,42.0,30.0,1.0,322.0,2499.0,1544.0,69.0,30.0,13.0,10.0,13.0,363.0,302.0,58.0,3.0,0.0,3.0,1.0,2.0,3.0,99.0,24.0,13.0,51.0,35.0,5.0,0.0,0.0,5.0,6.0,1.0,0.0
Edinson Cavani,31.0,1987.0,FW,Uruguay,4.0,4.0,342.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,15.9,2.0,1481,385,29,35,21,28,16,16,3,5,6,1,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,14.0,1.0,2.0,129.0,2.0,12.0,56.0,71.0,19.0,123.0,7.0,11.0,8.0,1.0,90.0,375.0,153.0,11.0,4.0,4.0,11.0,5.0,149.0,93.0,27.0,4.0,3.0,1.0,0.0,0.0,4.0,80.0,19.0,14.0,40.0,26.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0
Edison Flores,24.0,1994.0,MF,Peru,3.0,3.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.8,0.0,1256,303,36,42,35,44,4,6,3,6,3,1,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,24.0,2.0,1.0,140.0,2.0,35.0,63.0,47.0,4.0,140.0,1.0,3.0,1.0,1.0,93.0,419.0,144.0,4.0,0.0,0.0,7.0,4.0,107.0,94.0,7.0,2.0,4.0,1.0,1.0,0.0,3.0,53.0,13.0,20.0,27.0,6.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0
Edson Álvarez,20.0,1997.0,DF,Mexico,4.0,3.0,267.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,2713,952,47,53,82,97,12,17,1,12,0,0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,22.0,3.0,2.0,205.0,17.0,55.0,136.0,27.0,3.0,185.0,6.0,8.0,7.0,0.0,130.0,676.0,450.0,20.0,4.0,0.0,2.0,4.0,128.0,123.0,2.0,3.0,3.0,2.0,0.0,3.0,5.0,60.0,19.0,26.0,28.0,6.0,10.0,3.0,0.0,7.0,4.0,6.0,0.0
Eduardo Salvio,27.0,1990.0,DF,Argentina,2.0,2.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.9,0.0,1430,298,38,45,36,42,8,11,4,6,2,1,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,21.0,1.0,3.0,126.0,5.0,28.0,49.0,58.0,9.0,118.0,3.0,5.0,3.0,1.0,85.0,550.0,332.0,21.0,5.0,6.0,1.0,0.0,88.0,80.0,7.0,0.0,2.0,0.0,0.0,0.0,3.0,19.0,4.0,7.0,7.0,5.0,6.0,0.0,0.0,6.0,1.0,4.0,0.0
Ehsan Hajsafi,28.0,1990.0,DF,Iran,3.0,3.0,213.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,30.0,1.0,790,377,17,20,14,22,8,30,0,2,0,0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,23.0,2.0,1.0,94.0,8.0,44.0,33.0,20.0,0.0,75.0,2.0,4.0,3.0,1.0,43.0,202.0,132.0,6.0,2.0,0.0,1.0,0.0,38.0,37.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,25.0,9.0,19.0,5.0,1.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0
Ellyes Skhiri,23.0,1995.0,MF,Tunisia,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067,549,57,61,62,68,29,36,3,11,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,3.0,187.0,6.0,60.0,111.0,29.0,1.0,183.0,2.0,4.0,2.0,0.0,132.0,661.0,239.0,9.0,3.0,0.0,1.0,3.0,146.0,142.0,6.0,6.0,4.0,2.0,0.0,2.0,5.0,101.0,25.0,27.0,65.0,9.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0
Emil Forsberg,26.0,1991.0,MF,Sweden,5.0,5.0,415.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,23.1,3.0,1563,419,40,43,37,41,9,16,1,6,3,1,0.0,3.0,12.0,0.0,2.0,0.0,0.0,0.0,21.0,1.0,5.0,165.0,8.0,32.0,81.0,69.0,5.0,156.0,6.0,10.0,6.0,2.0,119.0,645.0,376.0,19.0,10.0,0.0,9.0,7.0,138.0,108.0,18.0,2.0,2.0,1.0,1.0,1.0,8.0,121.0,29.0,56.0,51.0,14.0,6.0,2.0,1.0,4.0,6.0,5.0,0.0
Emil Hallfreðsson,33.0,1984.0,MF,Iceland,2.0,2.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,35.0,0.0,1000,264,18,21,21,21,10,15,1,7,0,0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,84.0,6.0,25.0,49.0,13.0,0.0,84.0,4.0,7.0,4.0,0.0,57.0,268.0,146.0,6.0,0.0,0.0,1.0,1.0,44.0,38.0,3.0,8.0,5.0,2.0,1.0,1.0,5.0,53.0,15.0,33.0,17.0,3.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0
Emil Krafth,23.0,1994.0,DF,Sweden,2.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830,383,12,15,16,20,8,20,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,65.0,6.0,35.0,32.0,6.0,0.0,52.0,2.0,3.0,2.0,0.0,39.0,219.0,101.0,2.0,0.0,0.0,1.0,0.0,40.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,19.0,1.0,0.0,6.0,3.0,0.0,3.0,0.0,2.0,0.0
Enzo Pérez,32.0,1986.0,MF,Argentina,3.0,3.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.3,0.0,1723,316,43,46,47,52,9,9,0,10,1,0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,128.0,0.0,6.0,95.0,34.0,1.0,126.0,1.0,1.0,1.0,0.0,108.0,424.0,207.0,13.0,3.0,0.0,3.0,2.0,119.0,107.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,43.0,11.0,8.0,27.0,8.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
Eric Dier,24.0,1994.0,MF,England,6.0,2.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,16.9,0.0,3173,856,73,77,72,79,24,33,0,11,2,0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,213.0,4.0,56.0,148.0,26.0,4.0,212.0,1.0,3.0,1.0,0.0,166.0,818.0,355.0,10.0,3.0,1.0,0.0,1.0,174.0,171.0,1.0,3.0,2.0,2.0,0.0,1.0,6.0,61.0,9.0,15.0,36.0,10.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0
Erick Davis,27.0,1991.0,DF,Panama,2.0,2.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1405,564,54,57,23,28,10,24,1,5,2,2,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,122.0,7.0,39.0,59.0,37.0,0.0,111.0,0.0,0.0,0.0,0.0,80.0,415.0,254.0,14.0,4.0,0.0,1.0,0.0,87.0,84.0,3.0,1.0,2.0,0.0,1.0,2.0,3.0,24.0,8.0,20.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0
Fabian Delph,28.0,1989.0,MF,England,4.0,2.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.4,0.0,2015,476,81,84,45,47,6,15,3,12,2,1,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,23.0,0.0,2.0,174.0,3.0,20.0,112.0,47.0,1.0,172.0,3.0,8.0,4.0,0.0,151.0,633.0,292.0,14.0,3.0,0.0,0.0,2.0,151.0,139.0,8.0,3.0,2.0,3.0,0.0,3.0,5.0,71.0,11.0,23.0,39.0,9.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
Fabian Schär,26.0,1991.0,DF,Switzerland,3.0,3.0,270.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,3934,1272,52,59,81,85,40,63,0,9,1,0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,26.0,6.0,3.0,244.0,26.0,145.0,109.0,6.0,3.0,237.0,0.0,0.0,0.0,0.0,170.0,813.0,468.0,6.0,1.0,0.0,0.0,0.0,173.0,171.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,26.0,8.0,20.0,4.0,2.0,4.0,3.0,1.0,1.0,5.0,13.0,1.0
Fagner,29.0,1989.0,DF,Brazil,4.0,4.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3307,1024,101,109,86,92,11,23,4,13,5,3,0.0,8.0,4.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,4.0,262.0,12.0,81.0,153.0,50.0,3.0,239.0,2.0,3.0,2.0,0.0,174.0,824.0,435.0,14.0,10.0,1.0,2.0,2.0,179.0,172.0,3.0,6.0,6.0,4.0,2.0,2.0,6.0,79.0,15.0,42.0,30.0,7.0,11.0,0.0,0.0,11.0,3.0,4.0,0.0
Fahad Al Muwallad,23.0,1994.0,FW,Saudi,3.0,2.0,182.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27.8,0.0,177,23,14,17,2,3,0,0,1,0,2,0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,45.0,1.0,2.0,10.0,34.0,10.0,41.0,2.0,5.0,2.0,0.0,36.0,107.0,44.0,3.0,0.0,3.0,9.0,3.0,80.0,30.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,39.0,8.0,5.0,17.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Fakhreddine Ben Youssef,26.0,1991.0,MF,Tunisia,3.0,3.0,270.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,12.0,0.0,1075,340,36,42,28,39,4,10,3,6,2,1,0.0,3.0,6.0,0.0,4.0,1.0,0.0,0.0,16.0,4.0,1.0,123.0,7.0,33.0,52.0,41.0,7.0,123.0,0.0,0.0,0.0,0.0,84.0,398.0,204.0,11.0,1.0,0.0,5.0,1.0,125.0,92.0,15.0,2.0,3.0,0.0,0.0,2.0,0.0,47.0,11.0,17.0,19.0,11.0,2.0,0.0,0.0,2.0,3.0,6.0,0.0
Fayçal Fajr,29.0,1988.0,MF,Morocco,2.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,89,9,9,5,6,3,5,1,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,0.0,6.0,13.0,7.0,0.0,23.0,0.0,1.0,0.0,0.0,16.0,39.0,15.0,0.0,0.0,0.0,1.0,0.0,19.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Fazio,31.0,1987.0,DF,Argentina,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440,116,5,6,12,16,4,4,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,29.0,2.0,15.0,14.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,20.0,113.0,36.0,1.0,1.0,0.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Felipe Baloy,37.0,1981.0,DF,Panama,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,300,145,7,7,7,7,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,4.0,13.0,6.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,15.0,59.0,26.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Ferjani Sassi,26.0,1992.0,MF,Tunisia,3.0,3.0,193.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,25.1,0.0,2321,643,52,64,48,51,20,30,3,19,4,0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,3.0,170.0,2.0,38.0,111.0,32.0,1.0,166.0,1.0,1.0,1.0,0.0,129.0,576.0,291.0,11.0,2.0,0.0,1.0,2.0,143.0,127.0,8.0,1.0,2.0,1.0,1.0,1.0,4.0,73.0,15.0,28.0,32.0,13.0,4.0,1.0,0.0,3.0,2.0,1.0,0.0
Fernandinho,33.0,1985.0,MF,Brazil,5.0,1.0,158.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,24.0,0.0,1900,503,49,53,44,49,13,17,5,11,1,1,0.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,39.0,5.0,2.0,144.0,3.0,38.0,80.0,31.0,2.0,143.0,0.0,1.0,0.0,0.0,82.0,403.0,183.0,7.0,2.0,0.0,1.0,1.0,84.0,83.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,41.0,14.0,13.0,25.0,3.0,4.0,2.0,0.0,2.0,5.0,2.0,1.0
Fidel Escobar,23.0,1995.0,DF,Panama,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,29.4,1.0,1877,653,21,23,26,27,25,36,0,8,0,0,0.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,15.0,1.0,3.0,115.0,16.0,66.0,51.0,3.0,1.0,109.0,0.0,0.0,0.0,0.0,60.0,285.0,133.0,2.0,0.0,0.0,1.0,1.0,63.0,62.0,1.0,4.0,8.0,1.0,0.0,4.0,0.0,19.0,8.0,14.0,5.0,0.0,7.0,3.0,0.0,4.0,1.0,8.0,1.0
Filip Bradarić,26.0,1992.0,MF,Croatia,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,79,6,6,4,5,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,1.0,9.0,4.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Filip Kostić,25.0,1992.0,FW,Serbia,3.0,2.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.5,0.0,445,77,17,23,7,13,3,10,0,2,1,1,0.0,3.0,4.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,2.0,73.0,0.0,13.0,22.0,44.0,7.0,73.0,3.0,5.0,3.0,0.0,54.0,350.0,204.0,10.0,3.0,0.0,2.0,3.0,70.0,49.0,7.0,2.0,5.0,1.0,1.0,4.0,3.0,85.0,16.0,21.0,43.0,21.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
Filipe Luís,32.0,1985.0,DF,Brazil,2.0,1.0,171.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,0.0,1798,769,55,59,39,44,10,15,3,13,3,0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,2.0,1.0,146.0,9.0,43.0,92.0,22.0,2.0,132.0,1.0,2.0,1.0,0.0,98.0,626.0,397.0,16.0,2.0,0.0,0.0,0.0,105.0,99.0,1.0,6.0,3.0,2.0,1.0,2.0,5.0,36.0,10.0,18.0,12.0,6.0,5.0,1.0,0.0,4.0,2.0,2.0,0.0
Florian Thauvin,25.0,1993.0,FW,France,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Calvo,25.0,1992.0,DF,Costa,2.0,1.0,106.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.2,0.0,802,385,18,22,22,23,4,6,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,74.0,11.0,31.0,27.0,17.0,0.0,65.0,2.0,3.0,2.0,0.0,30.0,129.0,70.0,3.0,0.0,0.0,2.0,0.0,36.0,32.0,3.0,3.0,6.0,1.0,0.0,1.0,2.0,10.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
Fyodor Kudryashov,31.0,1987.0,DF,Russia,4.0,3.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634,756,30,33,40,50,14,23,1,7,3,0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,1.0,124.0,7.0,41.0,65.0,22.0,1.0,106.0,0.0,0.0,0.0,0.0,43.0,324.0,191.0,3.0,1.0,1.0,0.0,0.0,65.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,58.0,13.0,39.0,15.0,4.0,5.0,1.0,0.0,4.0,1.0,6.0,0.0
Fyodor Smolov,28.0,1990.0,FW,Russia,5.0,1.0,222.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,20.1,0.0,661,117,33,41,14,19,1,6,2,1,1,0,0.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,14.0,3.0,6.0,108.0,1.0,10.0,48.0,60.0,10.0,104.0,6.0,9.0,6.0,0.0,74.0,367.0,177.0,10.0,4.0,1.0,10.0,15.0,135.0,73.0,21.0,2.0,0.0,2.0,2.0,0.0,0.0,50.0,6.0,8.0,27.0,15.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Gabriel Gómez,34.0,1984.0,MF,Panama,3.0,3.0,248.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2291,488,45,45,33,38,26,31,1,8,0,0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,133.0,8.0,46.0,85.0,5.0,1.0,128.0,1.0,1.0,1.0,0.0,79.0,358.0,139.0,1.0,0.0,0.0,0.0,0.0,85.0,81.0,1.0,5.0,3.0,2.0,0.0,4.0,3.0,48.0,8.0,27.0,16.0,5.0,4.0,1.0,0.0,3.0,2.0,3.0,0.0
Gabriel Jesus,21.0,1997.0,FW,Brazil,5.0,5.0,404.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,9.7,0.0,944,200,39,53,19,25,5,8,3,3,2,2,0.0,8.0,4.0,3.0,5.0,0.0,0.0,0.0,15.0,6.0,5.0,155.0,4.0,20.0,60.0,88.0,39.0,151.0,11.0,17.0,13.0,2.0,106.0,525.0,287.0,11.0,4.0,4.0,12.0,4.0,165.0,102.0,52.0,7.0,1.0,5.0,1.0,0.0,5.0,132.0,26.0,15.0,65.0,52.0,7.0,2.0,0.0,5.0,6.0,4.0,0.0
Gabriel Mercado,31.0,1987.0,DF,Argentina,3.0,3.0,270.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,2382,524,86,93,57,70,9,15,1,8,1,1,0.0,8.0,6.0,0.0,3.0,0.0,0.0,0.0,25.0,3.0,1.0,211.0,7.0,61.0,125.0,36.0,2.0,197.0,0.0,1.0,0.0,0.0,149.0,709.0,399.0,12.0,1.0,0.0,2.0,1.0,158.0,143.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,36.0,14.0,16.0,16.0,4.0,6.0,2.0,0.0,4.0,4.0,2.0,0.0
Gabriel Torres,29.0,1988.0,FW,Panama,2.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.1,0.0,163,29,6,8,5,7,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,24.0,0.0,3.0,7.0,14.0,3.0,23.0,0.0,1.0,1.0,0.0,12.0,59.0,19.0,1.0,0.0,0.0,2.0,1.0,32.0,13.0,5.0,1.0,1.0,2.0,0.0,0.0,1.0,30.0,6.0,6.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaku Shibasaki,26.0,1992.0,MF,Japan,4.0,4.0,339.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,13.9,0.0,3947,1016,71,80,80,97,38,60,7,17,6,1,0.0,7.0,2.0,0.0,12.0,0.0,0.0,0.0,37.0,2.0,3.0,273.0,10.0,59.0,178.0,55.0,2.0,257.0,2.0,3.0,2.0,0.0,180.0,832.0,406.0,13.0,8.0,0.0,3.0,1.0,204.0,189.0,6.0,3.0,2.0,2.0,1.0,1.0,4.0,68.0,15.0,22.0,41.0,5.0,4.0,2.0,0.0,2.0,7.0,6.0,0.0
Gary Cahill,32.0,1985.0,DF,England,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851,275,18,19,16,17,7,8,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,48.0,6.0,26.0,24.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0,37.0,130.0,41.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,6.0,3.0,9.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0
Gelson Martins,23.0,1995.0,MF,Portugal,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,17,8,8,0,1,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,16.0,0.0,5.0,6.0,6.0,0.0,16.0,2.0,3.0,3.0,2.0,16.0,47.0,30.0,0.0,0.0,0.0,0.0,4.0,19.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Gen Shoji,25.0,1992.0,DF,Japan,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,0.0,3310,1063,53,53,79,87,27,37,0,10,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,8.0,7.0,205.0,14.0,84.0,136.0,3.0,0.0,205.0,1.0,2.0,1.0,0.0,147.0,837.0,457.0,19.0,2.0,0.0,0.0,1.0,146.0,143.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,20.0,7.0,15.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,15.0,0.0
Genki Haraguchi,27.0,1991.0,FW,Japan,3.0,3.0,244.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,16.2,0.0,1088,186,42,48,25,26,3,5,2,5,1,1,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,2.0,123.0,5.0,22.0,61.0,48.0,7.0,123.0,2.0,3.0,2.0,0.0,90.0,438.0,212.0,15.0,4.0,1.0,6.0,4.0,107.0,89.0,13.0,4.0,6.0,2.0,2.0,8.0,7.0,62.0,9.0,10.0,41.0,11.0,6.0,1.0,0.0,5.0,4.0,3.0,0.0
Gerard Piqué,31.0,1987.0,DF,Spain,4.0,4.0,390.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,12.3,0.0,6995,2068,87,95,174,184,59,70,2,47,0,0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,58.0,12.0,7.0,386.0,26.0,149.0,244.0,23.0,10.0,382.0,0.0,0.0,0.0,0.0,286.0,1880.0,1378.0,51.0,7.0,0.0,2.0,0.0,290.0,286.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,20.0,8.0,10.0,8.0,2.0,5.0,2.0,0.0,3.0,2.0,8.0,0.0
Ghaylène Chaalali,24.0,1994.0,MF,Tunisia,1.0,1.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.4,0.0,1263,220,21,22,28,34,12,19,1,3,1,0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,93.0,0.0,7.0,66.0,23.0,1.0,88.0,0.0,0.0,0.0,0.0,70.0,318.0,130.0,4.0,1.0,0.0,2.0,1.0,77.0,69.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,25.0,8.0,2.0,16.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Giancarlo González,30.0,1988.0,DF,Costa,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.9,0.0,1823,493,16,16,39,41,21,30,0,5,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,3.0,121.0,25.0,73.0,50.0,4.0,3.0,118.0,1.0,1.0,1.0,0.0,59.0,340.0,190.0,4.0,0.0,0.0,0.0,0.0,59.0,55.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0,1.0,0.0,10.0,5.0,0.0,5.0,2.0,14.0,0.0
Giorgian De Arrascaeta,24.0,1994.0,FW,Uruguay,2.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,709,194,16,16,11,15,7,11,3,2,1,0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,62.0,0.0,5.0,31.0,31.0,5.0,58.0,0.0,1.0,0.0,0.0,44.0,265.0,109.0,8.0,4.0,0.0,3.0,3.0,54.0,41.0,10.0,2.0,0.0,1.0,2.0,0.0,0.0,16.0,4.0,4.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
