Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Tyronne Ebuehi,22.0,1995.0,MF,Nigeria,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,41,18,18,4,5,1,2,2,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,27.0,1.0,6.0,12.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,23.0,102.0,53.0,2.0,1.0,0.0,1.0,1.0,21.0,19.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,12.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vahid Amiri,30.0,1988.0,MF,Iran,3.0,3.0,265.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,23.6,0.0,741,333,24,30,20,27,1,7,2,11,2,1,0.0,6.0,7.0,1.0,4.0,0.0,0.0,0.0,28.0,0.0,3.0,99.0,5.0,24.0,47.0,35.0,1.0,91.0,5.0,6.0,5.0,1.0,50.0,235.0,135.0,9.0,4.0,1.0,5.0,0.0,60.0,41.0,2.0,2.0,4.0,2.0,0.0,1.0,5.0,121.0,24.0,58.0,55.0,8.0,5.0,1.0,0.0,4.0,5.0,0.0,0.0
Valon Behrami,33.0,1985.0,MF,Switzerland,4.0,4.0,308.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,33.0,0.0,4030,735,78,81,104,108,27,31,0,14,1,0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,1.0,256.0,4.0,81.0,176.0,13.0,0.0,250.0,1.0,1.0,1.0,0.0,199.0,1061.0,518.0,14.0,1.0,0.0,1.0,1.0,193.0,186.0,0.0,7.0,5.0,8.0,0.0,8.0,8.0,97.0,23.0,48.0,42.0,7.0,8.0,1.0,0.0,7.0,5.0,2.0,0.0
Vedran Ćorluka,32.0,1986.0,DF,Croatia,4.0,1.0,121.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1226,421,18,19,26,28,11,13,0,3,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,1.0,78.0,11.0,48.0,32.0,1.0,0.0,77.0,3.0,3.0,3.0,0.0,47.0,280.0,147.0,2.0,0.0,0.0,0.0,0.0,42.0,39.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,11.0,0.0
Victor Lindelöf,23.0,1994.0,DF,Sweden,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1923,787,17,19,49,55,18,32,0,10,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,2.0,135.0,27.0,94.0,52.0,1.0,0.0,128.0,1.0,1.0,1.0,0.0,72.0,673.0,300.0,2.0,0.0,0.0,1.0,0.0,66.0,64.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,8.0,20.0,5.0,0.0,4.0,2.0,0.0,2.0,2.0,20.0,0.0
Victor Moses,27.0,1990.0,MF,Nigeria,3.0,3.0,270.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,22.0,0.0,1485,557,32,42,38,46,7,23,3,5,2,1,0.0,4.0,8.0,0.0,6.0,0.0,0.0,0.0,22.0,0.0,2.0,167.0,13.0,38.0,65.0,74.0,5.0,135.0,4.0,6.0,4.0,0.0,97.0,576.0,390.0,24.0,6.0,2.0,5.0,8.0,113.0,85.0,9.0,3.0,2.0,2.0,1.0,3.0,0.0,45.0,10.0,22.0,17.0,6.0,7.0,2.0,0.0,5.0,4.0,7.0,0.0
Viktor Claesson,26.0,1992.0,MF,Sweden,5.0,5.0,433.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,16.1,0.0,1688,673,51,65,40,51,9,23,7,6,6,2,0.0,7.0,8.0,0.0,5.0,1.0,0.0,0.0,60.0,7.0,3.0,212.0,9.0,57.0,76.0,87.0,13.0,199.0,5.0,11.0,6.0,0.0,110.0,504.0,240.0,14.0,6.0,1.0,9.0,5.0,127.0,98.0,20.0,6.0,6.0,2.0,2.0,5.0,10.0,135.0,20.0,52.0,66.0,17.0,16.0,3.0,0.0,13.0,8.0,6.0,0.0
Viktor Fischer,24.0,1994.0,MF,Denmark,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.2,0.0,97,27,5,5,2,2,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,2.0,3.0,6.0,5.0,0.0,14.0,0.0,2.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Vincent Kompany,32.0,1986.0,DF,Belgium,5.0,4.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,9.0,0.0,5727,1797,62,66,148,153,47,57,1,9,0,0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,316.0,40.0,190.0,138.0,7.0,7.0,313.0,0.0,0.0,0.0,0.0,216.0,1312.0,665.0,16.0,0.0,0.0,0.0,0.0,246.0,245.0,7.0,4.0,6.0,0.0,0.0,1.0,5.0,23.0,6.0,18.0,3.0,2.0,5.0,4.0,0.0,1.0,1.0,23.0,0.0
Vladimir Granat,31.0,1987.0,DF,Russia,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,56,0,0,0,2,1,4,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,3.0,6.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
