Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Georgi Dzhikiya,DF,Russia,27.0,1993.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2252,614,33,35,59,60,16,35,0,5,1,0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0,2.0,6.0,155.0,22.0,52.0,105.0,8.0,0.0,145.0,0.0,0.0,0.0,0.0,106.0,781.0,384.0,20.0,4.0,0.0,0.0,0.0,108.0,105.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,24.0,8.0,13.0,11.0,0.0,3.0,3.0,0.0,0.0,1.0,15.0,0.0
Artem Dzyuba,FW,Russia,32.0,1988.0,3.0,3.0,264.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,16.0,0.0,605,158,29,42,13,23,1,4,5,3,2,0,0.0,7.0,3.0,7.0,1.0,0.0,0.0,0.0,13.0,30.0,27.0,117.0,3.0,7.0,45.0,66.0,22.0,112.0,1.0,4.0,1.0,0.0,48.0,156.0,77.0,3.0,0.0,2.0,11.0,2.0,181.0,87.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11.0,6.0,13.0,10.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0
Albin Ekdal,MF,Sweden,31.0,1989.0,4.0,4.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.5,0.0,2086,468,53,58,48,56,14,15,2,12,2,0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,36.0,9.0,4.0,177.0,10.0,47.0,103.0,30.0,1.0,171.0,0.0,3.0,1.0,0.0,100.0,460.0,179.0,10.0,3.0,0.0,1.0,5.0,104.0,101.0,3.0,5.0,6.0,3.0,0.0,2.0,6.0,68.0,17.0,25.0,36.0,7.0,8.0,2.0,0.0,6.0,5.0,7.0,0.0
Elif Elmas,MF,North,21.0,1999.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,15.6,0.0,1672,375,39,43,42,46,10,11,1,7,1,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,2.0,138.0,4.0,34.0,81.0,40.0,6.0,135.0,5.0,11.0,7.0,2.0,108.0,743.0,438.0,16.0,6.0,1.0,5.0,4.0,139.0,104.0,6.0,2.0,3.0,1.0,0.0,1.0,2.0,42.0,14.0,7.0,24.0,11.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0
Nico Elvedi,DF,Switzerland,24.0,1996.0,5.0,5.0,510.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,8.4,0.0,4070,1237,74,81,119,123,23,33,0,12,0,0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,6.0,297.0,44.0,160.0,140.0,18.0,3.0,290.0,1.0,1.0,1.0,0.0,187.0,1145.0,648.0,26.0,6.0,0.0,0.0,0.0,208.0,200.0,0.0,6.0,9.0,2.0,0.0,7.0,5.0,58.0,13.0,35.0,19.0,4.0,4.0,3.0,0.0,1.0,15.0,31.0,0.0
Breel Embolo,FW,Switzerland,23.0,1997.0,5.0,5.0,365.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,4.0,14.8,0.0,1361,356,49,58,30,35,6,9,6,2,6,0,0.0,4.0,10.0,1.0,2.0,0.0,0.0,0.0,27.0,6.0,9.0,169.0,4.0,23.0,91.0,75.0,28.0,167.0,6.0,15.0,7.0,0.0,116.0,758.0,528.0,26.0,9.0,7.0,11.0,6.0,164.0,124.0,27.0,2.0,2.0,1.0,3.0,2.0,3.0,73.0,19.0,10.0,27.0,36.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0
Christian Eriksen,MF,Denmark,28.0,1992.0,1.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,21.3,0.0,451,85,9,9,6,7,6,13,2,1,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,35.0,0.0,1.0,13.0,22.0,2.0,29.0,0.0,1.0,0.0,0.0,18.0,123.0,76.0,3.0,1.0,0.0,1.0,1.0,25.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Christian Fassnacht,FW,Switzerland,27.0,1993.0,2.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,34,3,5,3,10,1,3,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,36.0,1.0,11.0,14.0,12.0,0.0,36.0,0.0,0.0,0.0,0.0,10.0,65.0,27.0,2.0,1.0,0.0,3.0,1.0,37.0,17.0,4.0,5.0,4.0,1.0,1.0,4.0,1.0,30.0,7.0,9.0,12.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
João Félix,FW,Portugal,21.0,1999.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,18.8,0.0,265,52,8,11,6,6,2,3,0,1,1,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,27.0,0.0,0.0,12.0,18.0,2.0,26.0,1.0,1.0,1.0,0.0,20.0,135.0,94.0,4.0,3.0,0.0,1.0,0.0,26.0,21.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Fernandes,MF,Portugal,26.0,1994.0,4.0,2.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,0.0,1783,554,30,33,28,38,20,30,6,7,7,1,0.0,1.0,6.0,1.0,13.0,0.0,0.0,0.0,11.0,0.0,3.0,136.0,2.0,14.0,58.0,71.0,7.0,121.0,1.0,6.0,3.0,0.0,86.0,429.0,250.0,8.0,1.0,1.0,5.0,3.0,116.0,98.0,17.0,3.0,1.0,2.0,1.0,3.0,4.0,42.0,14.0,15.0,10.0,17.0,4.0,0.0,0.0,4.0,1.0,1.0,0.0
