Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Fernando,19.0,1999.0,BRA,FW,Shakhtar,2.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.5,0.0,269.0,70.0,10.0,11.0,5.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,4.0,34.0,1.0,7.0,16.0,15.0,5.0,34.0,1.0,1.0,1.0,0.0,27.0,149.0,106.0,4.0,1.0,1.0,0.0,1.0,31.0,21.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,2.0,5.0,10.0,3.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0
Fernando,25.0,1993.0,BRA,FW,Porto,4.0,1.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,14.7,0.0,228.0,39.0,14.0,16.0,4.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,8.0,2.0,2.0,54.0,2.0,12.0,20.0,28.0,5.0,53.0,1.0,3.0,1.0,0.0,38.0,281.0,205.0,10.0,4.0,0.0,3.0,4.0,69.0,34.0,13.0,3.0,6.0,1.0,0.0,3.0,2.0,60.0,16.0,11.0,21.0,28.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Fernando,31.0,1987.0,BRA,MF,Galatasaray,4.0,4.0,323.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,11.4,0.0,2734.0,521.0,55.0,63.0,53.0,65.0,28.0,36.0,3.0,11.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,7.0,196.0,10.0,35.0,130.0,39.0,5.0,191.0,4.0,4.0,4.0,0.0,133.0,584.0,267.0,18.0,1.0,0.0,5.0,1.0,145.0,128.0,7.0,7.0,2.0,4.0,1.0,2.0,6.0,61.0,16.0,20.0,35.0,6.0,4.0,1.0,0.0,3.0,3.0,4.0,0.0
Fernando Llorente,33.0,1985.0,ESP,FW,Tottenham,9.0,1.0,241.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,9.4,0.0,621.0,172.0,37.0,49.0,10.0,23.0,1.0,6.0,3.0,4.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,31.0,14.0,133.0,8.0,14.0,55.0,65.0,23.0,132.0,5.0,7.0,6.0,0.0,53.0,156.0,80.0,5.0,1.0,1.0,6.0,5.0,173.0,105.0,46.0,0.0,0.0,1.0,1.0,2.0,2.0,58.0,7.0,4.0,31.0,23.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0
Fernando Marçal,29.0,1989.0,BRA,DF,Lyon,3.0,3.0,270.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3306.0,1176.0,72.0,76.0,81.0,86.0,20.0,34.0,1.0,19.0,2.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,2.0,222.0,10.0,76.0,141.0,20.0,1.0,215.0,1.0,1.0,1.0,0.0,161.0,696.0,322.0,6.0,4.0,0.0,0.0,1.0,168.0,166.0,2.0,1.0,1.0,1.0,0.0,1.0,6.0,61.0,14.0,31.0,22.0,8.0,4.0,2.0,1.0,2.0,5.0,4.0,0.0
Ferrán Torres,18.0,2000.0,ESP,FW,Valencia,3.0,1.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.8,0.0,592.0,152.0,17.0,21.0,18.0,21.0,2.0,4.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,3.0,57.0,2.0,7.0,21.0,32.0,4.0,57.0,4.0,4.0,4.0,1.0,57.0,361.0,193.0,11.0,1.0,1.0,0.0,2.0,60.0,47.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,2.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Filip Stojković,25.0,1993.0,MNE,DF,Red,5.0,5.0,418.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1898.0,894.0,25.0,37.0,55.0,76.0,11.0,36.0,1.0,1.0,4.0,3.0,0.0,8.0,7.0,0.0,7.0,0.0,1.0,0.0,36.0,1.0,2.0,202.0,28.0,86.0,88.0,39.0,4.0,170.0,3.0,5.0,3.0,0.0,100.0,573.0,324.0,9.0,4.0,1.0,1.0,6.0,103.0,92.0,4.0,9.0,9.0,1.0,0.0,6.0,10.0,81.0,24.0,57.0,20.0,4.0,12.0,5.0,0.0,7.0,8.0,9.0,0.0
Filipe Luís,32.0,1985.0,BRA,DF,Atlético,5.0,4.0,405.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,14.1,0.0,4331.0,1829.0,119.0,135.0,97.0,111.0,28.0,41.0,8.0,29.0,7.0,4.0,0.0,3.0,7.0,0.0,13.0,0.0,0.0,0.0,46.0,3.0,2.0,352.0,6.0,59.0,182.0,125.0,15.0,315.0,2.0,5.0,3.0,0.0,236.0,1191.0,686.0,48.0,9.0,3.0,5.0,3.0,241.0,221.0,10.0,12.0,10.0,6.0,2.0,6.0,2.0,68.0,23.0,29.0,26.0,13.0,10.0,0.0,0.0,10.0,10.0,1.0,1.0
Florian Grillitsch,22.0,1995.0,AUT,MF,Hoffenheim,6.0,5.0,414.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,23.5,0.0,3879.0,1044.0,56.0,63.0,82.0,94.0,37.0,55.0,0.0,19.0,8.0,0.0,0.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,47.0,2.0,2.0,266.0,7.0,72.0,171.0,53.0,2.0,258.0,6.0,8.0,6.0,0.0,186.0,1200.0,788.0,36.0,16.0,1.0,2.0,6.0,186.0,172.0,10.0,4.0,8.0,2.0,0.0,2.0,13.0,103.0,23.0,38.0,48.0,17.0,8.0,1.0,0.0,7.0,9.0,5.0,0.0
Francis Coquelin,27.0,1991.0,FRA,MF,Valencia,4.0,3.0,278.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,2235.0,637.0,74.0,82.0,45.0,51.0,13.0,16.0,1.0,14.0,1.0,0.0,0.0,9.0,10.0,0.0,1.0,0.0,0.0,0.0,32.0,2.0,2.0,181.0,4.0,41.0,118.0,38.0,3.0,181.0,5.0,7.0,5.0,0.0,152.0,563.0,255.0,12.0,4.0,1.0,2.0,2.0,142.0,129.0,13.0,3.0,3.0,1.0,1.0,2.0,5.0,52.0,13.0,23.0,24.0,5.0,1.0,0.0,0.0,1.0,10.0,3.0,0.0
