Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Riechedly Bazoer,25.0,1996.0,NED,MF,AZ,7.0,1.0,157.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,73.0,89.0,1321.0,319.0,29.0,33.0,31.0,38.0,9.0,10.0,0.0,1.0,8.0,1.0,0.0,10.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,102.0,2.0,22.0,51.0,30.0,2.0,102.0,4.0,4.0,0.0,62.0,241.0,87.0,1.0,2.0,1.0,0.0,0.0,75.0,4.0,6.0,5.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
Risto Radunović,30.0,1992.0,MNE,DF,FCSB,4.0,3.0,292.0,0.0,3.0,1.0,19.7,1.0,0.0,0.0,98.0,137.0,1986.0,1213.0,31.0,39.0,48.0,63.0,16.0,25.0,1.0,4.0,9.0,5.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,23.0,1.0,1.0,164.0,9.0,68.0,74.0,22.0,2.0,164.0,1.0,1.0,0.0,69.0,246.0,102.0,3.0,2.0,0.0,1.0,1.0,75.0,5.0,12.0,10.0,11.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,7.0,5.0,0.0
Robert Gojani,29.0,1992.0,SWE,MF,Silkeborg,3.0,1.0,79.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,70.0,80.0,1189.0,477.0,31.0,35.0,34.0,34.0,5.0,9.0,0.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,90.0,2.0,31.0,54.0,6.0,1.0,90.0,2.0,1.0,1.0,53.0,254.0,115.0,0.0,2.0,0.0,2.0,1.0,73.0,0.0,3.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Roberto Rosales,33.0,1988.0,VEN,DF,AÉK,3.0,3.0,267.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,124.0,1662.0,768.0,33.0,42.0,31.0,46.0,17.0,26.0,0.0,2.0,6.0,2.0,2.0,10.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,16.0,2.0,0.0,153.0,10.0,52.0,58.0,43.0,1.0,153.0,1.0,1.0,0.0,67.0,292.0,122.0,2.0,0.0,0.0,3.0,4.0,79.0,9.0,9.0,5.0,4.0,5.0,0.0,5.0,12.0,7.0,3.0,0.0,3.0,4.0,3.0,0.0
Robin Dahl Østrøm,19.0,2002.0,NOR,DF,Silkeborg,2.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,59.0,710.0,297.0,32.0,35.0,14.0,16.0,2.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,65.0,1.0,21.0,26.0,18.0,2.0,65.0,0.0,0.0,0.0,31.0,108.0,31.0,2.0,2.0,1.0,1.0,1.0,43.0,6.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Robin Yalçın,28.0,1994.0,GER,DF,Sivasspor,4.0,2.0,216.0,0.0,1.0,1.0,10.2,0.0,0.0,0.0,82.0,107.0,1590.0,431.0,35.0,43.0,33.0,45.0,13.0,16.0,0.0,1.0,6.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,11.0,2.0,1.0,132.0,5.0,41.0,54.0,37.0,3.0,132.0,4.0,1.0,3.0,75.0,464.0,204.0,4.0,6.0,0.0,1.0,0.0,74.0,4.0,8.0,7.0,6.0,1.0,1.0,4.0,6.0,2.0,9.0,5.0,4.0,3.0,1.0,0.0
Rodrigo Gomes,19.0,2003.0,POR,FW,Braga,1.0,1.0,90.0,0.0,4.0,2.0,15.0,0.0,0.0,0.0,11.0,17.0,128.0,14.0,6.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,33.0,0.0,3.0,6.0,24.0,4.0,33.0,4.0,2.0,1.0,22.0,184.0,68.0,3.0,2.0,1.0,3.0,1.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Roger Junio,26.0,1996.0,BRA,MF,CFR,5.0,5.0,417.0,0.0,5.0,1.0,15.2,0.0,0.0,0.0,56.0,96.0,1000.0,385.0,32.0,39.0,14.0,28.0,9.0,20.0,2.0,8.0,6.0,4.0,2.0,9.0,0.0,0.0,0.0,5.0,2.0,0.0,22.0,0.0,0.0,0.0,16.0,4.0,4.0,155.0,9.0,38.0,51.0,69.0,6.0,155.0,8.0,3.0,3.0,73.0,527.0,210.0,9.0,6.0,1.0,17.0,4.0,76.0,20.0,9.0,4.0,4.0,4.0,1.0,2.0,10.0,8.0,4.0,0.0,4.0,5.0,7.0,0.0
Rolando Mandragora,25.0,1997.0,ITA,MF,Fiorentina,15.0,12.0,1007.0,2.0,24.0,6.0,17.5,0.0,0.0,0.0,437.0,534.0,8199.0,2316.0,179.0,202.0,180.0,212.0,62.0,90.0,1.0,15.0,54.0,11.0,4.0,70.0,2.0,0.0,0.0,24.0,7.0,0.0,35.0,0.0,0.0,0.0,48.0,18.0,14.0,636.0,11.0,61.0,376.0,202.0,38.0,636.0,9.0,3.0,6.0,428.0,1747.0,732.0,11.0,18.0,7.0,6.0,5.0,435.0,45.0,19.0,9.0,3.0,10.0,6.0,5.0,13.0,8.0,12.0,1.0,11.0,5.0,9.0,0.0
Roman Karasyuk,31.0,1991.0,UKR,MF,Pyunik,4.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,433.0,220.0,7.0,9.0,13.0,15.0,2.0,3.0,0.0,3.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,42.0,2.0,16.0,24.0,2.0,0.0,42.0,0.0,0.0,0.0,9.0,39.0,6.0,0.0,1.0,0.0,1.0,0.0,15.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0
