Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Ali Gabr,29.0,1989.0,DF,Egypt,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,79.0,1398.0,405.0,12.0,13.0,38.0,42.0,11.0,23.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,3.0,1.0,106.0,23.0,79.0,24.0,3.0,2.0,106.0,0.0,0.0,0.0,38.0,166.0,71.0,0.0,0.0,0.0,1.0,0.0,66.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,17.0,0.0
Ali Maâloul,28.0,1990.0,DF,Tunisia,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,116.0,1463.0,631.0,57.0,62.0,32.0,38.0,6.0,10.0,0.0,3.0,3.0,3.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,124.0,6.0,41.0,62.0,21.0,0.0,124.0,2.0,2.0,0.0,71.0,264.0,170.0,3.0,0.0,0.0,2.0,1.0,90.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0
Alireza Jahanbakhsh,24.0,1993.0,MF,IR,3.0,2.0,170.0,0.0,2.0,1.0,25.6,1.0,0.0,0.0,27.0,47.0,457.0,143.0,8.0,11.0,12.0,19.0,3.0,7.0,0.0,2.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,5.0,4.0,0.0,6.0,0.0,0.0,0.0,11.0,2.0,2.0,63.0,1.0,14.0,20.0,29.0,3.0,63.0,3.0,3.0,0.0,30.0,188.0,102.0,4.0,1.0,1.0,1.0,3.0,32.0,9.0,6.0,4.0,3.0,2.0,1.0,3.0,7.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0
Amine Harit,20.0,1997.0,FW,Morocco,1.0,1.0,81.0,0.0,3.0,1.0,14.8,0.0,0.0,0.0,19.0,26.0,236.0,27.0,13.0,16.0,5.0,7.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,38.0,0.0,2.0,17.0,19.0,4.0,38.0,10.0,6.0,4.0,28.0,229.0,127.0,5.0,3.0,1.0,1.0,5.0,37.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Amr Warda,24.0,1993.0,FW,Egypt,3.0,1.0,154.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,66.0,636.0,150.0,17.0,22.0,17.0,28.0,3.0,12.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,10.0,0.0,0.0,0.0,9.0,4.0,7.0,83.0,3.0,15.0,22.0,47.0,2.0,83.0,3.0,3.0,0.0,49.0,366.0,174.0,6.0,3.0,0.0,4.0,1.0,57.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,0.0
Anderson Santamaría,26.0,1992.0,DF,Peru,2.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,74.0,1236.0,531.0,35.0,35.0,26.0,28.0,7.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,5.0,87.0,11.0,50.0,38.0,0.0,0.0,87.0,0.0,0.0,0.0,42.0,199.0,109.0,1.0,0.0,0.0,0.0,0.0,61.0,0.0,6.0,4.0,4.0,2.0,0.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0
Andreas Christensen,22.0,1996.0,DF,Denmark,4.0,4.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,174.0,2778.0,940.0,66.0,69.0,87.0,90.0,7.0,13.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,26.0,4.0,5.0,204.0,20.0,65.0,133.0,6.0,2.0,204.0,0.0,0.0,0.0,146.0,559.0,327.0,0.0,3.0,0.0,2.0,2.0,133.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,4.0,14.0,0.0
Andreas Cornelius,25.0,1993.0,FW,Denmark,3.0,2.0,162.0,0.0,1.0,1.0,14.3,0.0,0.0,0.0,23.0,40.0,296.0,63.0,15.0,22.0,2.0,7.0,2.0,5.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,21.0,23.0,55.0,2.0,2.0,26.0,27.0,5.0,55.0,2.0,1.0,1.0,24.0,160.0,27.0,1.0,1.0,0.0,7.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
Andreas Granqvist,33.0,1985.0,DF,Sweden,5.0,5.0,450.0,2.0,4.0,1.0,18.9,0.0,2.0,2.0,144.0,178.0,2920.0,1311.0,55.0,64.0,66.0,75.0,22.0,37.0,0.0,4.0,9.0,1.0,0.0,12.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,6.0,251.0,54.0,126.0,111.0,14.0,11.0,249.0,2.0,2.0,0.0,109.0,593.0,411.0,10.0,2.0,0.0,1.0,0.0,127.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,13.0,13.0,0.0,7.0,37.0,0.0
Andrej Kramarić,26.0,1991.0,MF,Croatia,7.0,3.0,334.0,1.0,11.0,2.0,20.2,0.0,0.0,0.0,119.0,145.0,1585.0,227.0,75.0,82.0,32.0,42.0,5.0,10.0,0.0,7.0,10.0,3.0,2.0,11.0,0.0,0.0,0.0,2.0,3.0,3.0,9.0,0.0,0.0,0.0,13.0,2.0,7.0,171.0,3.0,13.0,73.0,88.0,15.0,171.0,7.0,3.0,4.0,121.0,789.0,351.0,13.0,9.0,3.0,4.0,6.0,151.0,31.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
Andrew Nabbout,25.0,1992.0,FW,Australia,2.0,2.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,168.0,40.0,5.0,5.0,6.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,29.0,0.0,0.0,18.0,11.0,3.0,29.0,2.0,1.0,1.0,15.0,81.0,32.0,3.0,1.0,2.0,4.0,3.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrija Živković,21.0,1996.0,MF,Serbia,1.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,145.0,64.0,7.0,7.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,2.0,6.0,8.0,1.0,15.0,0.0,0.0,0.0,11.0,136.0,73.0,2.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
André Carrillo,27.0,1991.0,FW,Peru,3.0,3.0,258.0,1.0,3.0,2.0,22.0,0.0,0.0,0.0,80.0,107.0,1244.0,200.0,42.0,55.0,24.0,29.0,8.0,14.0,0.0,6.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,8.0,0.0,0.0,0.0,17.0,2.0,6.0,128.0,2.0,15.0,59.0,59.0,9.0,128.0,14.0,10.0,4.0,97.0,693.0,336.0,11.0,7.0,3.0,6.0,10.0,105.0,22.0,2.0,2.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0
André Silva,22.0,1995.0,FW,Portugal,3.0,1.0,117.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,34.0,388.0,91.0,15.0,15.0,6.0,9.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,42.0,1.0,5.0,25.0,12.0,1.0,42.0,0.0,0.0,0.0,25.0,186.0,78.0,6.0,3.0,0.0,4.0,3.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Andrés Guardado,31.0,1986.0,MF,Mexico,4.0,4.0,303.0,0.0,6.0,1.0,25.7,0.0,0.0,0.0,122.0,144.0,2212.0,556.0,53.0,58.0,54.0,61.0,12.0,20.0,0.0,4.0,12.0,2.0,0.0,14.0,1.0,0.0,0.0,2.0,2.0,0.0,11.0,0.0,0.0,0.0,25.0,3.0,4.0,181.0,5.0,35.0,101.0,48.0,6.0,181.0,7.0,4.0,3.0,98.0,684.0,363.0,7.0,6.0,2.0,6.0,5.0,107.0,11.0,5.0,5.0,4.0,1.0,0.0,4.0,8.0,4.0,5.0,0.0,5.0,5.0,2.0,0.0
Andrés Iniesta,34.0,1984.0,MF,Spain,4.0,3.0,283.0,0.0,5.0,1.0,20.3,0.0,0.0,0.0,253.0,291.0,3723.0,939.0,158.0,174.0,71.0,79.0,15.0,20.0,1.0,7.0,26.0,6.0,0.0,39.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,12.0,1.0,0.0,312.0,1.0,8.0,173.0,133.0,13.0,312.0,10.0,7.0,3.0,272.0,1036.0,450.0,8.0,17.0,3.0,5.0,2.0,285.0,31.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0
