Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Iñaki Williams,FW,Ghana,27.0,1994.0,3.0,3.0,270.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,42.0,355.0,65.0,18.0,24.0,7.0,9.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,63.0,3.0,10.0,24.0,30.0,6.0,63.0,1.0,1.0,0.0,37.0,192.0,79.0,2.0,4.0,2.0,5.0,5.0,42.0,7.0,4.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0
Neco Williams,DF,Wales,21.0,2001.0,3.0,3.0,204.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,69.0,101.0,1178.0,388.0,35.0,39.0,26.0,36.0,7.0,17.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,16.0,2.0,1.0,136.0,4.0,32.0,67.0,39.0,4.0,136.0,7.0,1.0,3.0,62.0,436.0,226.0,6.0,6.0,1.0,6.0,2.0,61.0,11.0,5.0,3.0,3.0,0.0,2.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,0.0
Nico Williams,FW,Spain,19.0,2002.0,4.0,1.0,146.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,63.0,822.0,74.0,25.0,28.0,19.0,24.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,7.0,1.0,2.0,90.0,0.0,4.0,38.0,50.0,5.0,90.0,16.0,5.0,10.0,53.0,342.0,123.0,6.0,2.0,3.0,9.0,2.0,69.0,25.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Callum Wilson,FW,England,30.0,1992.0,2.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,121.0,32.0,6.0,6.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,0.0,2.0,9.0,7.0,2.0,17.0,1.0,0.0,1.0,13.0,57.0,37.0,2.0,1.0,1.0,4.0,2.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Wilson,MF,Wales,25.0,1997.0,3.0,2.0,160.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,48.0,64.0,911.0,225.0,23.0,27.0,17.0,21.0,8.0,13.0,0.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,10.0,1.0,2.0,82.0,5.0,21.0,35.0,26.0,1.0,82.0,1.0,0.0,0.0,38.0,154.0,45.0,2.0,1.0,0.0,3.0,0.0,49.0,6.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
Roan Wilson,MF,Costa,20.0,2002.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,52.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,41.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Axel Witsel,MF,Belgium,33.0,1989.0,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,169.0,177.0,2851.0,651.0,74.0,76.0,88.0,92.0,6.0,7.0,0.0,1.0,9.0,1.0,0.0,16.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,200.0,11.0,56.0,131.0,17.0,1.0,200.0,0.0,0.0,0.0,109.0,473.0,208.0,2.0,1.0,1.0,2.0,3.0,140.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,4.0,6.0,0.0
Jeong Woo-yeong,MF,Korea,22.0,1999.0,1.0,1.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,181.0,31.0,6.0,7.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,1.0,5.0,14.0,2.0,20.0,1.0,0.0,1.0,10.0,30.0,11.0,0.0,0.0,0.0,1.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jung Woo-young,MF,Korea,32.0,1989.0,4.0,4.0,303.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,178.0,211.0,3599.0,1019.0,67.0,75.0,78.0,88.0,31.0,42.0,0.0,2.0,25.0,2.0,0.0,24.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,6.0,2.0,241.0,14.0,62.0,151.0,29.0,1.0,241.0,0.0,0.0,0.0,177.0,548.0,294.0,1.0,1.0,0.0,2.0,2.0,169.0,1.0,5.0,4.0,3.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,7.0,0.0
Christopher Wooh,DF,Cameroon,20.0,2001.0,1.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0,522.0,119.0,6.0,7.0,16.0,16.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,8.0,25.0,18.0,2.0,1.0,45.0,0.0,0.0,0.0,24.0,165.0,92.0,0.0,0.0,0.0,1.0,2.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,6.0,0.0
