Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Kristian Thorstvedt,22.0,1999.0,NOR,MF,Genk,6.0,5.0,436.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,17.5,0.0,3278.0,841.0,88.0,106.0,75.0,91.0,21.0,27.0,5.0,19.0,2.0,0.0,0.0,9.0,13.0,0.0,2.0,0.0,0.0,0.0,46.0,6.0,11.0,292.0,6.0,47.0,160.0,104.0,13.0,285.0,4.0,7.0,4.0,0.0,216.0,1174.0,543.0,27.0,10.0,0.0,9.0,9.0,245.0,207.0,26.0,9.0,3.0,8.0,3.0,7.0,5.0,78.0,24.0,13.0,46.0,19.0,5.0,1.0,0.0,4.0,5.0,3.0,0.0
Kristijan Jakić,24.0,1997.0,CRO,MF,Eint,12.0,10.0,938.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,2.0,23.0,0.0,5926.0,1958.0,149.0,166.0,132.0,163.0,36.0,43.0,9.0,44.0,6.0,0.0,0.0,29.0,13.0,1.0,4.0,0.0,1.0,0.0,119.0,24.0,11.0,524.0,20.0,122.0,330.0,99.0,16.0,518.0,10.0,21.0,12.0,2.0,313.0,1405.0,695.0,33.0,10.0,0.0,14.0,19.0,350.0,311.0,21.0,16.0,9.0,11.0,2.0,10.0,22.0,248.0,81.0,84.0,132.0,32.0,17.0,2.0,0.0,15.0,15.0,17.0,0.0
Kristoffer Zachariassen,26.0,1994.0,NOR,MF,Ferencváros,6.0,6.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.3,0.0,1065.0,275.0,40.0,44.0,27.0,40.0,2.0,7.0,4.0,6.0,4.0,1.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,16.0,7.0,6.0,134.0,9.0,38.0,68.0,37.0,8.0,134.0,1.0,4.0,2.0,0.0,87.0,653.0,354.0,20.0,6.0,2.0,4.0,3.0,124.0,88.0,15.0,9.0,6.0,4.0,1.0,3.0,7.0,98.0,26.0,34.0,47.0,17.0,3.0,1.0,0.0,2.0,5.0,4.0,0.0
Kurt Zouma,26.0,1994.0,FRA,DF,West,6.0,6.0,570.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,6.2,0.0,4407.0,1275.0,75.0,82.0,123.0,134.0,28.0,39.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,12.0,324.0,79.0,210.0,127.0,5.0,5.0,319.0,0.0,0.0,0.0,0.0,179.0,826.0,337.0,6.0,0.0,0.0,1.0,0.0,209.0,205.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,36.0,12.0,22.0,13.0,1.0,13.0,7.0,0.0,6.0,15.0,34.0,0.0
Kyogo Furuhashi,26.0,1995.0,JPN,FW,Celtic,5.0,4.0,345.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,12.5,0.0,576.0,81.0,27.0,28.0,12.0,18.0,2.0,4.0,5.0,1.0,3.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,11.0,1.0,4.0,83.0,2.0,6.0,39.0,41.0,17.0,78.0,2.0,3.0,2.0,0.0,52.0,195.0,102.0,5.0,0.0,2.0,6.0,5.0,142.0,56.0,16.0,4.0,0.0,3.0,2.0,2.0,2.0,79.0,23.0,1.0,29.0,49.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0
Kévin Malcuit,30.0,1991.0,MAR,DF,Napoli,4.0,1.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.1,0.0,1276.0,376.0,36.0,41.0,23.0,33.0,9.0,15.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,27.0,3.0,3.0,118.0,5.0,29.0,56.0,42.0,2.0,96.0,3.0,3.0,3.0,0.0,61.0,340.0,168.0,9.0,7.0,0.0,4.0,2.0,65.0,52.0,5.0,0.0,3.0,1.0,0.0,2.0,0.0,39.0,10.0,17.0,18.0,4.0,3.0,1.0,0.0,2.0,3.0,5.0,0.0
Kévin Théophile-Catherine,31.0,1989.0,FRA,DF,Dinamo,8.0,8.0,630.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,15.8,0.0,6372.0,2298.0,93.0,100.0,146.0,168.0,56.0,118.0,2.0,12.0,2.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,0.0,57.0,21.0,12.0,465.0,61.0,249.0,229.0,13.0,4.0,445.0,1.0,3.0,2.0,0.0,280.0,1436.0,772.0,16.0,4.0,0.0,3.0,1.0,313.0,309.0,0.0,12.0,10.0,6.0,0.0,6.0,1.0,92.0,40.0,48.0,40.0,4.0,12.0,6.0,0.0,6.0,10.0,33.0,1.0
Ladislav Krejčí,22.0,1999.0,CZE,DF,Sparta,4.0,3.0,256.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,13.0,0.0,3743.0,1186.0,46.0,52.0,73.0,80.0,39.0,60.0,1.0,18.0,0.0,0.0,0.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,45.0,11.0,7.0,231.0,17.0,111.0,125.0,21.0,7.0,224.0,4.0,4.0,4.0,0.0,158.0,907.0,636.0,5.0,3.0,0.0,2.0,5.0,170.0,157.0,1.0,6.0,3.0,2.0,1.0,1.0,2.0,27.0,10.0,12.0,13.0,2.0,2.0,1.0,0.0,1.0,5.0,5.0,0.0
Ladislav Krejčí,29.0,1992.0,CZE,FW,Sparta,2.0,1.0,112.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,277.0,146.0,6.0,8.0,6.0,6.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,25.0,1.0,4.0,8.0,13.0,0.0,20.0,0.0,0.0,0.0,0.0,13.0,50.0,25.0,3.0,0.0,0.0,0.0,0.0,26.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,2.0,4.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Leo Dubois,26.0,1994.0,FRA,DF,Lyon,5.0,3.0,298.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,33.0,0.0,2974.0,968.0,70.0,80.0,70.0,84.0,21.0,37.0,4.0,14.0,7.0,4.0,0.0,4.0,3.0,3.0,9.0,0.0,0.0,0.0,28.0,8.0,10.0,243.0,10.0,60.0,123.0,72.0,4.0,203.0,2.0,2.0,2.0,0.0,144.0,750.0,464.0,21.0,7.0,2.0,3.0,3.0,149.0,140.0,14.0,4.0,3.0,4.0,1.0,4.0,0.0,50.0,19.0,17.0,23.0,10.0,6.0,1.0,0.0,5.0,7.0,9.0,0.0
Leo Greiml,20.0,2001.0,AUT,DF,Rapid,3.0,3.0,233.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1769.0,779.0,19.0,20.0,44.0,48.0,14.0,28.0,0.0,4.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,4.0,133.0,18.0,93.0,47.0,1.0,1.0,131.0,0.0,0.0,0.0,0.0,68.0,347.0,183.0,0.0,0.0,0.0,0.0,0.0,75.0,72.0,0.0,8.0,9.0,3.0,0.0,3.0,4.0,46.0,21.0,33.0,13.0,0.0,9.0,3.0,0.0,6.0,2.0,17.0,1.0
Leon Balogun,33.0,1988.0,NGA,DF,Rangers,10.0,7.0,682.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,9.7,0.0,5055.0,1763.0,81.0,88.0,120.0,143.0,41.0,62.0,0.0,14.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,81.0,29.0,17.0,411.0,73.0,264.0,155.0,16.0,9.0,402.0,3.0,4.0,3.0,0.0,221.0,1412.0,633.0,9.0,2.0,0.0,1.0,5.0,235.0,223.0,0.0,6.0,12.0,4.0,0.0,3.0,5.0,95.0,35.0,50.0,43.0,2.0,15.0,5.0,0.0,10.0,23.0,37.0,1.0
