Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Enis Bardhi,MF,N.,25.0,1995.0,3.0,3.0,234.0,0.0,5.0,1.0,28.8,1.0,0.0,0.0,100.0,121.0,1967.0,563.0,43.0,49.0,35.0,40.0,19.0,22.0,0.0,5.0,14.0,3.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,1.0,144.0,1.0,36.0,82.0,29.0,1.0,144.0,8.0,6.0,2.0,71.0,486.0,273.0,6.0,1.0,0.0,5.0,4.0,103.0,5.0,4.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0
Nicolò Barella,MF,Italy,23.0,1997.0,6.0,6.0,469.0,1.0,5.0,2.0,24.7,0.0,0.0,0.0,208.0,253.0,3043.0,872.0,124.0,139.0,62.0,71.0,11.0,16.0,1.0,9.0,20.0,7.0,0.0,25.0,2.0,0.0,0.0,6.0,10.0,1.0,2.0,0.0,0.0,0.0,29.0,1.0,5.0,295.0,0.0,33.0,142.0,120.0,6.0,295.0,10.0,7.0,3.0,175.0,916.0,391.0,9.0,9.0,1.0,10.0,7.0,237.0,23.0,6.0,2.0,2.0,4.0,0.0,1.0,11.0,10.0,4.0,0.0,4.0,2.0,1.0,1.0
Dmitri Barinov,DF,Russia,24.0,1996.0,2.0,2.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,103.0,1403.0,418.0,40.0,45.0,31.0,40.0,8.0,12.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,115.0,3.0,26.0,79.0,10.0,1.0,115.0,1.0,1.0,0.0,79.0,397.0,214.0,2.0,2.0,0.0,0.0,0.0,83.0,1.0,3.0,2.0,3.0,0.0,0.0,2.0,6.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0
Borna Barišić,DF,Croatia,28.0,1992.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,152.0,99.0,7.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,3.0,12.0,7.0,4.0,0.0,23.0,0.0,0.0,0.0,8.0,97.0,47.0,1.0,2.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Alessandro Bastoni,DF,Italy,21.0,1999.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,86.0,1467.0,348.0,32.0,33.0,39.0,40.0,8.0,10.0,0.0,3.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,3.0,91.0,5.0,26.0,54.0,11.0,2.0,91.0,0.0,0.0,0.0,54.0,284.0,222.0,3.0,4.0,0.0,1.0,0.0,75.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Michy Batshuayi,FW,Belgium,27.0,1993.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,137.0,24.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,11.0,6.0,0.0,15.0,2.0,2.0,0.0,6.0,47.0,37.0,1.0,1.0,0.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Baumgartlinger,MF,Austria,33.0,1988.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christoph Baumgartner,FW,Austria,21.0,1999.0,4.0,4.0,246.0,1.0,3.0,2.0,11.5,0.0,0.0,0.0,67.0,88.0,839.0,149.0,44.0,51.0,15.0,19.0,3.0,4.0,0.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,10.0,5.0,7.0,120.0,4.0,17.0,55.0,48.0,8.0,120.0,8.0,1.0,7.0,59.0,388.0,199.0,8.0,2.0,3.0,5.0,6.0,89.0,24.0,5.0,4.0,3.0,2.0,0.0,3.0,5.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0
Jan Bednarek,DF,Poland,24.0,1996.0,3.0,3.0,264.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,146.0,162.0,3236.0,913.0,29.0,34.0,88.0,93.0,28.0,33.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,197.0,18.0,71.0,118.0,8.0,2.0,197.0,0.0,0.0,0.0,114.0,551.0,248.0,0.0,0.0,0.0,0.0,1.0,126.0,0.0,8.0,4.0,5.0,3.0,0.0,3.0,4.0,1.0,3.0,2.0,1.0,6.0,13.0,0.0
Egzon Bejtulai,DF,N.,27.0,1994.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,213.0,96.0,2.0,2.0,5.0,8.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,15.0,1.0,7.0,6.0,2.0,0.0,15.0,0.0,0.0,0.0,4.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jude Bellingham,MF,England,17.0,2003.0,3.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,288.0,39.0,13.0,13.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,34.0,0.0,9.0,19.0,7.0,1.0,34.0,4.0,2.0,2.0,23.0,79.0,18.0,0.0,0.0,0.0,3.0,1.0,24.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Andrea Belotti,FW,Italy,27.0,1993.0,6.0,1.0,220.0,0.0,9.0,2.0,16.1,1.0,0.0,0.0,22.0,35.0,328.0,56.0,13.0,14.0,6.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,12.0,7.0,1.0,0.0,0.0,0.0,4.0,4.0,8.0,70.0,1.0,7.0,37.0,26.0,8.0,70.0,6.0,2.0,4.0,35.0,137.0,63.0,2.0,3.0,1.0,11.0,2.0,47.0,13.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0
László Bénes,MF,Slovakia,23.0,1997.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,193.0,42.0,7.0,7.0,4.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,1.0,8.0,6.0,1.0,15.0,0.0,0.0,0.0,8.0,62.0,16.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre Bengtsson,DF,Sweden,32.0,1988.0,3.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,163.0,106.0,3.0,3.0,4.0,8.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,20.0,2.0,8.0,7.0,5.0,1.0,20.0,0.0,0.0,0.0,8.0,48.0,31.0,1.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Loris Benito,DF,Switzerland,29.0,1992.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,31.0,15.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Benteke,FW,Belgium,30.0,1990.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,51.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
