Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Damian Kądzior,27.0,1992.0,POL,MF,Dinamo,2.0,1.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,57.0,3.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,17.0,1.0,3.0,6.0,8.0,1.0,15.0,0.0,0.0,0.0,0.0,7.0,22.0,9.0,1.0,0.0,0.0,0.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,5.0,8.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Dan-Axel Zagadou,20.0,1999.0,FRA,DF,Dortmund,5.0,3.0,286.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,22.5,0.0,3746.0,1211.0,64.0,68.0,85.0,89.0,31.0,41.0,1.0,18.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,5.0,228.0,22.0,107.0,129.0,10.0,2.0,225.0,0.0,0.0,0.0,0.0,168.0,950.0,436.0,11.0,2.0,0.0,0.0,4.0,166.0,165.0,1.0,8.0,7.0,1.0,0.0,1.0,3.0,34.0,14.0,22.0,11.0,1.0,5.0,1.0,0.0,4.0,0.0,11.0,0.0
Dani Carvajal,27.0,1992.0,ESP,DF,Real,7.0,7.0,622.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,21.2,0.0,7688.0,2275.0,201.0,218.0,183.0,210.0,44.0,62.0,10.0,22.0,15.0,3.0,0.0,7.0,7.0,0.0,17.0,0.0,1.0,0.0,76.0,5.0,9.0,603.0,33.0,173.0,256.0,208.0,14.0,538.0,3.0,10.0,4.0,0.0,358.0,1866.0,1196.0,57.0,18.0,2.0,5.0,7.0,424.0,394.0,18.0,13.0,9.0,10.0,4.0,10.0,16.0,141.0,40.0,55.0,60.0,26.0,23.0,6.0,0.0,17.0,7.0,14.0,0.0
Dani Olmo,21.0,1998.0,ESP,MF,Dinamo,8.0,8.0,666.0,3.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,34.4,0.0,2467.0,753.0,80.0,93.0,49.0,64.0,16.0,34.0,9.0,17.0,6.0,0.0,0.0,12.0,20.0,0.0,7.0,0.0,0.0,0.0,60.0,10.0,19.0,319.0,12.0,56.0,155.0,139.0,26.0,307.0,20.0,43.0,25.0,5.0,234.0,1033.0,674.0,35.0,15.0,3.0,19.0,15.0,313.0,211.0,49.0,11.0,6.0,5.0,2.0,2.0,9.0,212.0,58.0,64.0,90.0,58.0,8.0,1.0,0.0,7.0,5.0,8.0,0.0
Daniel Parejo,30.0,1989.0,ESP,MF,Valencia,8.0,8.0,720.0,1.0,3.0,1.0,3.0,1.0,0.0,7.0,3.0,27.6,3.0,11305.0,4364.0,167.0,177.0,208.0,227.0,117.0,162.0,17.0,64.0,5.0,0.0,0.0,6.0,22.0,0.0,15.0,0.0,0.0,0.0,72.0,2.0,4.0,658.0,22.0,174.0,384.0,134.0,7.0,586.0,8.0,15.0,8.0,2.0,424.0,1996.0,973.0,40.0,9.0,1.0,3.0,11.0,505.0,470.0,19.0,12.0,6.0,8.0,2.0,5.0,21.0,189.0,47.0,73.0,92.0,24.0,13.0,3.0,0.0,10.0,3.0,8.0,0.0
Daniel Podence,23.0,1995.0,POR,FW,Olympiacos,6.0,5.0,457.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0,7.0,14.8,0.0,1843.0,635.0,83.0,96.0,31.0,54.0,8.0,16.0,8.0,6.0,5.0,2.0,0.0,7.0,7.0,1.0,15.0,0.0,0.0,0.0,29.0,1.0,7.0,233.0,3.0,34.0,122.0,107.0,24.0,225.0,22.0,33.0,23.0,4.0,200.0,1240.0,866.0,49.0,13.0,10.0,5.0,12.0,237.0,176.0,39.0,5.0,3.0,4.0,1.0,4.0,4.0,105.0,25.0,40.0,42.0,23.0,4.0,0.0,0.0,4.0,3.0,3.0,0.0
Daniel Wass,30.0,1989.0,DEN,DF,Valencia,8.0,8.0,720.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,30.8,1.0,6620.0,2355.0,176.0,200.0,156.0,190.0,38.0,63.0,7.0,30.0,7.0,3.0,0.0,13.0,12.0,0.0,17.0,0.0,1.0,0.0,84.0,16.0,13.0,555.0,36.0,161.0,305.0,126.0,3.0,474.0,3.0,4.0,3.0,1.0,305.0,1693.0,994.0,38.0,16.0,1.0,6.0,4.0,352.0,328.0,10.0,11.0,9.0,4.0,0.0,5.0,9.0,94.0,25.0,41.0,39.0,14.0,12.0,2.0,0.0,10.0,6.0,29.0,1.0
Daniele Rugani,25.0,1994.0,ITA,DF,Juventus,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2390.0,868.0,52.0,54.0,63.0,65.0,13.0,18.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,3.0,164.0,20.0,66.0,105.0,1.0,0.0,160.0,0.0,1.0,0.0,0.0,110.0,534.0,255.0,5.0,0.0,0.0,0.0,0.0,123.0,121.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,20.0,4.0,8.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,0.0
Daniil Kulikov,21.0,1998.0,RUS,MF,Loko,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.5,0.0,80.0,27.0,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,16.0,0.0,3.0,11.0,4.0,1.0,16.0,1.0,2.0,2.0,0.0,11.0,19.0,5.0,0.0,0.0,0.0,1.0,0.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,1.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Danilo,28.0,1991.0,BRA,DF,Juventus,6.0,5.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.9,0.0,6615.0,2315.0,139.0,151.0,166.0,190.0,42.0,61.0,1.0,35.0,4.0,2.0,0.0,4.0,4.0,0.0,10.0,0.0,0.0,0.0,47.0,9.0,4.0,460.0,17.0,136.0,250.0,101.0,7.0,423.0,1.0,3.0,2.0,0.0,291.0,1250.0,726.0,26.0,10.0,1.0,2.0,0.0,343.0,331.0,9.0,4.0,5.0,6.0,1.0,8.0,5.0,48.0,10.0,23.0,19.0,6.0,6.0,1.0,0.0,5.0,4.0,20.0,0.0
