Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Marvelous Nakamba,24.0,1994.0,ZIM,MF,Club,5.0,4.0,395.0,0.0,2.0,1.0,29.0,0.0,0.0,0.0,122.0,146.0,2107.0,482.0,54.0,62.0,52.0,57.0,12.0,15.0,0.0,1.0,9.0,1.0,1.0,8.0,1.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,32.0,4.0,4.0,216.0,14.0,73.0,129.0,15.0,0.0,216.0,3.0,2.0,1.0,96.0,447.0,194.0,4.0,1.0,0.0,6.0,2.0,99.0,3.0,22.0,8.0,14.0,8.0,0.0,9.0,17.0,8.0,12.0,0.0,12.0,15.0,10.0,0.0
Mason Greenwood,16.0,2001.0,ENG,MF,Manchester,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Matej Mitrović,24.0,1993.0,CRO,DF,Club,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,34.0,818.0,253.0,5.0,5.0,16.0,17.0,10.0,11.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,51.0,7.0,26.0,21.0,4.0,2.0,51.0,0.0,0.0,0.0,22.0,60.0,13.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0,0.0
Matija Nastasić,25.0,1993.0,SRB,DF,Schalke,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,280.0,5206.0,1866.0,69.0,72.0,148.0,155.0,30.0,49.0,0.0,2.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,4.0,346.0,30.0,187.0,155.0,5.0,1.0,346.0,0.0,0.0,0.0,180.0,840.0,615.0,3.0,2.0,0.0,1.0,2.0,230.0,0.0,20.0,16.0,17.0,3.0,0.0,10.0,15.0,5.0,3.0,3.0,0.0,12.0,27.0,1.0
Mats Hummels,29.0,1988.0,GER,DF,Bayern,6.0,6.0,539.0,1.0,4.0,2.0,10.2,0.0,0.0,0.0,402.0,459.0,8039.0,2717.0,130.0,139.0,223.0,241.0,47.0,75.0,0.0,1.0,18.0,1.0,0.0,17.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,19.0,8.0,522.0,39.0,280.0,230.0,14.0,8.0,522.0,2.0,2.0,0.0,325.0,1616.0,990.0,2.0,1.0,0.0,3.0,1.0,370.0,2.0,22.0,16.0,12.0,8.0,2.0,8.0,13.0,5.0,5.0,2.0,3.0,11.0,22.0,1.0
Mats Rits,25.0,1993.0,BEL,MF,Club,5.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,121.0,2025.0,454.0,38.0,42.0,45.0,50.0,16.0,22.0,2.0,1.0,11.0,2.0,1.0,11.0,1.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,14.0,1.0,3.0,145.0,8.0,38.0,88.0,20.0,0.0,145.0,1.0,1.0,0.0,78.0,236.0,68.0,1.0,0.0,0.0,3.0,4.0,95.0,9.0,5.0,3.0,5.0,0.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,5.0,9.0,0.0
Matteo Politano,24.0,1993.0,ITA,FW,Inter,6.0,5.0,449.0,0.0,11.0,1.0,22.8,3.0,0.0,0.0,138.0,219.0,2374.0,891.0,75.0,88.0,46.0,63.0,14.0,41.0,1.0,12.0,8.0,8.0,6.0,20.0,1.0,0.0,0.0,4.0,13.0,3.0,50.0,0.0,0.0,0.0,18.0,1.0,7.0,265.0,2.0,30.0,86.0,151.0,8.0,265.0,16.0,6.0,10.0,151.0,1351.0,807.0,33.0,14.0,4.0,7.0,6.0,190.0,47.0,5.0,4.0,3.0,1.0,1.0,1.0,10.0,9.0,1.0,0.0,1.0,3.0,2.0,0.0
Matthijs de Ligt,18.0,1999.0,NED,DF,Ajax,11.0,11.0,990.0,2.0,16.0,6.0,17.2,0.0,0.0,0.0,527.0,625.0,9989.0,3139.0,187.0,200.0,275.0,305.0,57.0,105.0,0.0,1.0,23.0,1.0,0.0,32.0,2.0,0.0,0.0,10.0,5.0,2.0,2.0,0.0,0.0,0.0,73.0,45.0,19.0,738.0,77.0,383.0,325.0,35.0,20.0,738.0,3.0,1.0,2.0,421.0,2061.0,1097.0,5.0,2.0,0.0,4.0,1.0,469.0,4.0,16.0,12.0,11.0,3.0,2.0,5.0,13.0,8.0,12.0,8.0,4.0,15.0,49.0,0.0
Mattia De Sciglio,25.0,1992.0,ITA,DF,Juventus,4.0,4.0,306.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,184.0,218.0,3250.0,851.0,82.0,90.0,84.0,93.0,17.0,29.0,0.0,3.0,11.0,1.0,1.0,17.0,0.0,0.0,0.0,8.0,4.0,0.0,8.0,0.0,0.0,0.0,17.0,4.0,4.0,237.0,10.0,54.0,125.0,60.0,2.0,237.0,4.0,2.0,2.0,101.0,493.0,236.0,5.0,8.0,0.0,4.0,2.0,145.0,7.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0
Matías Vecino,26.0,1991.0,URU,MF,Inter,5.0,5.0,450.0,1.0,12.0,1.0,17.2,0.0,0.0,0.0,171.0,224.0,2877.0,838.0,77.0,91.0,71.0,84.0,16.0,29.0,1.0,5.0,23.0,4.0,0.0,31.0,0.0,0.0,0.0,13.0,2.0,0.0,4.0,0.0,0.0,0.0,30.0,7.0,9.0,288.0,13.0,66.0,163.0,59.0,16.0,288.0,6.0,3.0,3.0,140.0,897.0,430.0,9.0,9.0,0.0,7.0,5.0,199.0,12.0,15.0,8.0,6.0,8.0,1.0,5.0,17.0,12.0,7.0,2.0,5.0,4.0,7.0,0.0
